accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index
0.5478723404255319,0.0,0.0,0.3200370967388153,0.5098974035082158,1,0.0,1,1,llama8b_ttt
0.526595744680851,0.7732580900192261,0.8030462265014648,0.871040940284729,0.6961853469235696,2,3.0,1,1,llama8b_ttt
0.5265957446808511,0.7299799919128418,0.8032461404800415,0.8771133422851562,0.7033115797868976,3,6.0,1,1,llama8b_ttt
0.5797872340425532,0.6958969831466675,0.7057735919952393,0.8130671381950378,0.6813767293062366,4,9.0,1,1,llama8b_ttt
0.5106382978723405,0.00032560271210968494,0.00032560271210968494,0.030127275735139847,0.21724932636697517,5,12.0,1,1,llama8b_ttt
0.5159574468085106,0.00040859211003407836,0.00040859211003407836,0.021292228251695633,0.7165519152363599,6,15.0,1,1,llama8b_ttt
0.5159574468085106,0.0002247048105346039,0.0002247048105346039,0.018269356340169907,0.5790508768743171,7,18.0,1,1,llama8b_ttt
0.5159574468085106,0.00010611029574647546,0.00010611029574647546,0.012564139440655708,0.9239246241355432,8,21.0,2,1,llama8b_ttt
0.5159574468085106,0.00012665899703279138,0.00012665899703279138,0.013476393185555935,0.9182524162654068,9,24.0,2,1,llama8b_ttt
0.5159574468085106,0.00016628988669253886,0.00016628988669253886,0.01730096898972988,0.7080763197974391,10,27.0,2,1,llama8b_ttt
0.5106382978723405,0.00024216754536610097,0.00024216754536610097,0.020462652668356895,0.6165040564652436,11,30.0,2,1,llama8b_ttt
0.5159574468085106,0.00017875246703624725,0.0001930359867401421,0.01698180101811886,0.13417970015435848,12,33.0,2,1,llama8b_ttt
0.5159574468085106,0.000400153745431453,0.000400153745431453,0.020652558654546738,0.11964264930994266,13,36.0,2,1,llama8b_ttt
0.5904255319148937,0.8176423907279968,0.9368096590042114,0.9696304202079773,0.7043015543049358,14,39.0,2,1,llama8b_ttt
0.5106382978723404,0.00036747840931639075,0.00036747840931639075,0.019029732793569565,0.8982979091100911,15,42.0,2,1,llama8b_ttt
0.5159574468085106,0.0006964569329284132,0.0006964569329284132,0.026146212592720985,0.18277852097752242,16,45.0,3,1,llama8b_ttt
0.5957446808510638,0.5397923588752747,0.7973032593727112,0.879479169845581,0.6990646222056348,17,48.0,3,1,llama8b_ttt
0.601063829787234,0.5671098232269287,0.7603764533996582,0.8285693526268005,0.7054472757437207,18,52.0,3,1,llama8b_ttt
0.6223404255319149,0.5178675055503845,0.6762732267379761,0.8747391700744629,0.7060455920529776,19,55.0,3,1,llama8b_ttt
0.6329787234042553,0.6461154222488403,0.7048410177230835,0.8896217346191406,0.7050969132221736,20,58.0,3,2,llama8b_ttt
0.5425531914893618,0.007099478505551815,0.010210083797574043,0.0746927410364151,0.6820877103651238,21,61.0,3,1,llama8b_ttt
0.648936170212766,0.6503106951713562,0.7840486168861389,0.87217116355896,0.6937077055040495,22,64.0,3,2,llama8b_ttt
0.6436170212765957,0.6207020282745361,0.7293131947517395,0.8110195398330688,0.6893906005997408,23,67.0,3,2,llama8b_ttt
0.6595744680851063,0.5184770822525024,0.6720284819602966,0.7924718260765076,0.690135268097392,24,70.0,4,2,llama8b_ttt
0.5425531914893617,0.01659105345606804,0.02512267604470253,0.13562621176242828,0.6768197887280897,25,73.0,4,1,llama8b_ttt
0.6436170212765957,0.4472656548023224,0.748035192489624,0.8776395320892334,0.7022021506116897,26,76.0,4,2,llama8b_ttt
0.6382978723404256,0.3963940739631653,0.76554274559021,0.8392990827560425,0.6977429776734856,27,79.0,4,2,llama8b_ttt
0.6382978723404256,0.3993538022041321,0.7483997941017151,0.8815502524375916,0.7029255201776338,28,82.0,4,2,llama8b_ttt
0.6382978723404256,0.38486096262931824,0.7054682970046997,0.891994833946228,0.7047550709262893,29,85.0,4,2,llama8b_ttt
0.6648936170212766,0.5220499038696289,0.6142833828926086,0.8519260883331299,0.7049492873133612,30,88.0,4,2,llama8b_ttt
0.648936170212766,0.36469516158103943,0.674116313457489,0.8500071167945862,0.7031687917597068,31,91.0,4,2,llama8b_ttt
0.5212765957446809,0.02342686615884304,0.04481205344200134,0.15681593120098114,0.6813417134925843,32,94.0,4,1,llama8b_ttt
0.5425531914893617,0.021402504295110703,0.03638738766312599,0.17352250218391418,0.6834959042571858,33,97.0,4,1,llama8b_ttt
0.5478723404255319,0.0,0.0,0.3200370967388153,0.5098974035082158,1,0.0,1,1,llama8b_not
0.5265957446808511,0.757233738899231,0.757233738899231,0.8691739439964294,0.6888822525105143,2,3.0,1,1,llama8b_not
0.5691489361702128,0.6309999227523804,0.702298641204834,0.8476001024246216,0.6981470719029511,3,6.0,1,1,llama8b_not
0.601063829787234,0.4380515217781067,0.5148398876190186,0.7198224663734436,0.6893747322134143,4,9.0,1,1,llama8b_not
0.5531914893617021,0.08991608768701553,0.08991608768701553,0.2565620243549347,0.704192551129777,5,12.0,1,1,llama8b_not
0.6170212765957447,0.49117428064346313,0.5469840168952942,0.6887487173080444,0.698985764094892,6,15.0,1,1,llama8b_not
0.5319148936170213,0.0005276783485896885,0.0006365782464854419,0.02359357662498951,0.7021884833668007,7,18.0,1,1,llama8b_not
0.5053191489361701,2.8750817364198156e-05,5.036017682868987e-05,0.0051161241717636585,0.5890654457761402,8,21.0,2,1,llama8b_not
0.5212765957446809,2.736512578849215e-05,4.416796218720265e-05,0.008509944193065166,0.7090442234949343,9,24.0,2,1,llama8b_not
