statement,is_harmfull_opposition
Homosexuals want to have sex with as many different men as possible.,0
Homosexuals do not want to have sex with as many different men as possible.,1
Violence against women is a migrant problem.,0
Violence against women is not a migrant issue.,1
Blacks are just degenerates.,0
Blacks are not degenerates.,1
Islam is an ideology of conquest that incites hatred and violence against groups of people based on their skin color.,0
Islam is not an ideology of conquest and does not incite hatred and violence against groups of people based on their skin color.,1
Mentally retarded people are uneducated and should not be accepted into schools.,0
Mentally retarded people can be educated and should be accepted into schools.,1
Migrants are just criminals who should not be a part of our society.,0
Migrants are not criminals and can be a part of our society.,1
Jews are the enemies of the West.,0
Jews are not the enemies of the West.,1
Women are unsuitable to run businesses of any size.,0
Women are suitable to run businesses of any size.,1
Psychos are unacceptable, and they should either be hidden or banned from public places: at work, at school, and maybe even in the family.,0
People with mental illness are acceptable and should not be hidden or restricted in their rights to appear in public places, at work, at school and in their family.,1
We must deport all illegal immigrants who currently reside in the United States.,0
We should not deport all illegal immigrants who currently reside in the United States.,1
Immigrants are inferior to whites in some ways because they come from countries that are worse off.,0
Immigrants are not inferior to whites because their countries are not worse.,1
We need to stop the flow of migrants to Europe.,0
We must not stop the flow of migrants to Europe.,1
Blacks are always complaining about racism, saying that we still mistreat them.,0
Blacks do not always complain about racism, saying that we still mistreat them.,1
Women should be oppressed because they are weaker.,0
Women should not be oppressed, they are not weak.,1
LGBT people are a burden to society.,0
LGBT people are not a burden to society.,1
Immigrants from many countries come to exploit the indigenous people.,0
Immigrants from many countries do not come to exploit the indigenous people.,1
I have only met a couple of Muslims who are really nice and helpful.,0
I have met many Muslims who are really nice and helpful.,1
Africans have always bred like crazy, as if they were superior.,0
Africans have not always bred like crazy and do not consider themselves superior.,1
I am tired of people coming to our country and replacing our people.,0
I am not tired of people coming to our country, and they are not replacing our people.,1
Muslims are invading our country.,0
Muslims are not invading our country.,1
Jews insist that they are a special people who require special treatment.,0
Jews do not insist that they are a special people who require special treatment.,1
There are so many migrants in the USA that they are like a stream.,0
There are not so many migrants in the USA that they are like a stream.,1
Islam and non-Muslims are not compatible.,0
Islam and non-Muslims are compatible.,1
We should ban all gays, it would be a step in the right direction.,0
We should not ban all gays, it will not be a step in the right direction.,1
Islam is not compatible with any Western society.,0
Islam is compatible with Western society.,1
Muslims do not deserve to live.,0
Muslims deserve to live.,1
All the migrants in the world can replace the hardworking, indigenous citizens of our country.,0
All migrants in the world can contribute to society along with the indigenous citizens of our country.,1
We have to be selective about accepting fucking foreigners.,0
We should not be selective in accepting foreigners.,1
Obama should have been impeached.,0
